0,1,2,3,4,5,6,7,8,9
1.305840128,-2.939384221,1.643853036,-1.238582366,-0.386280717,9.816940652,1.733475971,0.228963162,3.368696616,-16.81501613
2.166888533,-2.862131591,1.241442816,2.476249562,1.569767099,14.6637629,1.327648137,-0.499538279,4.70228698,-32.17581702
0.665871992,1.736688874,-0.085199839,-0.815354573,-1.098807635,-6.901573935,-0.888740852,-0.024721081,-4.030433336,21.03810692
0.497091968,1.770642107,-0.98141155,0.818131691,0.499202321,-6.029004715,0.341165753,-0.297771706,-2.973569764,14.64427835
0.209546643,1.335364071,-0.005285877,-0.338846194,-0.215287271,-5.67945734,-1.537502814,-0.095118693,-2.723736573,12.55963453
0.035535241,0.066303829,-0.24922268,0.334894498,0.135565047,-1.335018897,-0.998897809,0.264631991,-0.472289655,4.808935402
-0.0728026,-0.260737735,1.811356637,-3.115705385,-0.110905797,0.886393602,-1.481715595,-0.965506639,0.224323654,4.370971916
2.590208537,-0.920538925,1.176518954,0.203279971,0.698239424,9.220364755,1.02029674,-0.068304726,0.653291738,-13.80939144
-2.219603789,0.304172435,-1.314639498,3.035157891,0.740586005,-5.298466057,-0.010974433,1.018874311,-0.226119236,4.011791371
0.899662139,0.665499645,-0.362730893,-0.991772281,-0.470440152,-2.080175445,-0.740174078,0.008125601,-1.763133781,10.27459193
1.881917409,-3.050279572,1.888820692,-1.397487446,-0.058581133,10.11833084,0.838970031,-1.784149462,4.434530275,-16.84374206
-0.707203312,2.439469406,-0.626828906,2.04578675,0.617965632,-7.907888755,-1.475466563,0.280676383,-2.490669175,13.06855279
-1.393078382,-1.378600625,0.470163104,4.495686429,2.060965364,0.427534162,0.275113842,0.772603341,1.447958975,-7.946820018
-0.374026209,1.653725218,1.409040553,3.271715237,1.798722452,-6.692893039,0.031363269,-0.283507325,-3.156419567,11.27784421
0.673260954,0.609333465,1.086708561,-0.311338839,-1.472601875,0.294898962,-0.79720044,-0.072743878,-0.907320875,-0.040474033
-3.359127013,2.037214333,-2.782139224,-0.791601541,-1.082798231,-11.25501099,-1.199965044,0.483760639,-2.10904574,19.07346212
-0.914305654,-2.68086439,-2.733267848,1.557946921,0.513716519,5.771067272,0.969588422,0.926117435,4.510296983,-17.84620344
1.716409847,-1.347740094,2.517740926,-4.311960165,-0.136900683,2.783627466,0.730088187,-1.847142368,0.591280828,4.492965579
-0.324418128,-1.701776083,-0.057384999,-1.116165713,-1.233484873,3.903559529,1.860025975,0.266951788,2.051302408,-8.791047525
0.952027965,-1.05244076,0.048199949,5.300714904,3.179765501,10.85981294,0.788180987,-0.109879643,4.556560755,-30.66514401
-0.669868593,-0.217799423,1.317841614,-0.55262266,0.360365837,-1.839082136,-0.826943541,-0.706169193,-0.01104575,3.968685139
2.554893887,-0.745861192,1.09254074,-3.293252242,-0.455064888,6.844238639,0.571365492,-0.791333793,1.107554756,-7.304567022
0.988773691,0.476233408,0.928894456,-1.204669463,0.062375072,0.903743771,-0.722559883,-0.382265463,0.512108305,1.796267032
-3.170069037,1.369746091,-2.322055255,2.30437525,0.170514797,-10.11007939,-0.305941204,0.52532008,-1.495545255,12.75467547
-2.213099734,4.082773927,-0.217912152,1.749951892,1.496699949,-17.1907699,-2.974272895,0.185551843,-7.269895239,34.99318094
-1.116878628,-0.324737214,-2.560840315,1.032713418,0.957777194,-3.181604106,0.330054146,1.331915226,-0.677089949,3.797599686
-0.421933732,-3.623261818,-0.953713046,-0.047555272,-0.566910138,12.58521368,1.448437964,0.367829732,7.165507273,-31.1176403
0.245279892,-0.19254846,1.726449831,-4.202532029,-1.097015592,0.603486776,-0.659702389,-1.278295046,1.206136145,5.161294225
-0.046200776,0.570621884,0.159284085,-1.727711927,-1.419116165,-1.108355346,-1.284771819,-0.123608935,-0.367242623,4.267913552
0.33300481,-1.489434665,0.541750134,-1.270926144,0.445704946,2.00197934,0.541021763,-0.55336186,0.671100992,1.122787159
-0.824630651,-1.598693429,0.222736666,-0.146265567,-0.860477502,7.328033953,0.636121579,1.047654351,4.024100103,-18.8582298
-0.551243811,0.631227514,0.09197751,-1.783448111,-1.175996816,-3.10402788,0.224573654,0.219224335,-1.869667346,8.510578944
1.198101104,-0.843082441,0.630517951,1.9280147,0.750211272,2.422307816,0.891378573,-0.691956937,0.367790705,-5.127741682
-1.717987377,0.053265142,-1.771305648,3.910886261,1.037460567,-4.91920944,-1.219031396,0.807232648,-1.542138038,6.919541611
0.429704901,-2.512105006,0.927606028,-2.392716512,-1.228279316,10.95199085,1.167472205,-0.388428424,4.780420602,-19.87212019
-0.683726727,-1.153837413,0.216229942,-5.18024454,-1.493620049,0.965979336,-0.213353672,-1.365832021,2.079953876,4.105405378
-2.346214944,0.647244396,-3.698700784,4.470098281,0.194556678,-6.45654778,-0.463619143,1.319458771,0.103433555,1.469915326
2.993403419,3.021608386,3.217297386,-2.648375364,-0.161062022,-0.352753226,-1.033986853,-1.00541669,-2.935798055,9.861565195
-1.296683378,0.743398918,0.380066982,-1.470707966,-0.415766444,-6.310879771,-0.675956155,-0.459651738,-0.951337925,11.14202339
-0.133591949,-0.653664868,1.251027654,-1.287408833,-1.385798969,5.854630605,0.944162966,0.213474452,2.951406,-14.05260388
-0.202718364,0.461646662,-0.679738574,0.454380614,1.392222967,-2.067969901,-0.654009831,-0.236125698,-0.533621502,5.896185834
1.240479599,-0.752661252,1.771210334,-5.08661408,-0.926932519,1.959857203,0.454043672,-1.706715265,1.068971735,5.347558239
1.100202503,-2.861916677,-0.539550404,-6.477253132,-1.92900472,11.18662527,1.679894514,-1.277711257,5.693784327,-14.94978795
1.882608814,2.453288052,1.533851613,-1.677419639,-0.552607636,-7.166924954,-0.932265828,-0.689478748,-4.707418217,21.0959642
0.636947126,0.080956056,0.658170869,-2.915496623,-1.183741104,0.003225458,-0.383711349,0.02819138,-0.667525667,3.842025195
2.055276102,-1.12007657,1.605248719,0.181125085,-0.284034633,8.691683359,0.687625284,-0.424481696,2.212711833,-19.20357048
-0.571197265,2.156605369,-0.445794595,0.085016164,-0.219769332,-4.841810693,-1.27812706,0.17596595,-1.913563265,9.636126043
-1.772571971,3.08074391,-0.143639616,-4.719816084,-1.644213371,-13.96064937,-1.485468555,-1.058806424,-4.795520469,35.6043207
0.207792928,-0.042538597,-0.174487152,-0.810772845,0.095754545,1.628712183,-0.679170276,-0.285568313,0.544229355,-2.513002681
2.402033341,-4.14824449,3.412981724,-5.747570895,-1.994848735,15.79943446,2.360522292,-1.201858848,5.155196042,-23.24476032
1.153886203,0.372102147,1.117253655,-4.462483131,-1.057548047,-0.543737627,0.265353902,-1.136169526,-0.43968246,9.817918873
-1.583097673,-2.983752706,-0.964914555,0.379524448,-0.857658909,10.86483012,1.040415471,0.928071975,5.673890839,-29.34537746
