alarm_id,device_id,start_timestamp,end_timestamp
0,0,82475,82506
0,0,154148,154180
0,0,235752,235782
0,0,531092,531121
0,0,552066,552100
3,0,545325,545347
4,0,41774,41800
4,0,331601,331647
4,0,521850,521881
4,0,567261,567289
5,0,566205,566229
5,0,593388,593416
6,0,287004,287041
6,0,307087,307112
6,0,389774,389805
6,0,419599,419619
6,0,518011,518047
8,0,114895,114924
8,0,374543,374571
8,0,420036,420060
8,0,420091,420116
8,0,490758,490788
9,0,3074,3117
9,0,76044,76073
9,0,140349,140378
9,0,154012,154046
9,0,195659,195695
9,0,234434,234476
9,0,469052,469090
9,0,507110,507137
17,0,89139,89167
17,0,256101,256130
17,0,517271,517293
18,0,52011,52043
18,0,300328,300351
18,0,379503,379534
18,0,549761,549798
19,0,151212,151241
19,0,161757,161798
19,0,180337,180378
19,0,226511,226547
19,0,573869,573904
22,0,207912,207947
23,0,341749,341775
23,0,368131,368165
24,0,29018,29040
24,0,82800,82825
24,0,514427,514443
24,0,555469,555500
25,0,44265,44305
25,0,230136,230164
25,0,272492,272536
25,0,479335,479375
25,0,480431,480455
25,0,515211,515250
25,0,543035,543075
26,0,92207,92236
26,0,436147,436176
26,0,500173,500200
26,0,506238,506267
27,0,26406,26428
27,0,227596,227609
27,0,510332,510365
27,0,542518,542552
28,0,174108,174133
32,0,163582,163612
32,0,354865,354894
32,0,491202,491238
32,0,495321,495354
32,0,560691,560723
32,0,581398,581435
33,0,119572,119615
33,0,176423,176455
33,0,209995,210032
33,0,316441,316474
33,0,546416,546459
34,0,24993,25022
34,0,156625,156651
34,0,205930,205963
34,0,386392,386415
34,0,465002,465039
39,0,89443,89475
39,0,127251,127274
39,0,235208,235238
39,0,321454,321476
39,0,372499,372531
39,0,413535,413558
39,0,531491,531520
41,0,29004,29032
41,0,49963,49979
41,0,61208,61221
41,0,110733,110752
41,0,200973,200989
41,0,206073,206087
41,0,245345,245360
41,0,356060,356081
42,0,195781,195810
42,0,255291,255323
42,0,308160,308192
42,0,501489,501524
42,0,509677,509709
43,0,5973,5991
43,0,246379,246413
43,0,258405,258440
43,0,272815,272832
43,0,503052,503064
45,0,61290,61322
45,0,113685,113704
45,0,426660,426696
45,0,475875,475899
45,0,547015,547044
45,0,596455,596480
47,0,7485,7510
47,0,16690,16716
47,0,90074,90102
47,0,136691,136718
47,0,582555,582580
48,0,283032,283061
48,0,285702,285732
48,0,297808,297837
48,0,362346,362374
48,0,436350,436380
48,0,437632,437664
48,0,483478,483508
49,0,16534,16562
49,0,40837,40858
49,0,97724,97769
49,0,127710,127744
49,0,293247,293284
49,0,464505,464527
49,0,540460,540499
49,0,547134,547163
49,0,567501,567546
49,0,572378,572411
50,0,178434,178464
50,0,354138,354168
50,0,460593,460627
50,0,501542,501572
50,0,565300,565330
52,0,101531,101559
52,0,333935,333969
53,0,12056,12077
53,0,258760,258792
53,0,338713,338745
53,0,425006,425033
53,0,501102,501124
53,0,524984,525016
55,0,67945,67972
55,0,147740,147764
55,0,187667,187686
55,0,365280,365308
56,0,101870,101889
56,0,355744,355778
56,0,380832,380847
27,0,82503,82540
42,0,235778,235813
19,0,76046,76085
5,0,195681,195711
19,0,234454,234477
55,0,234449,234472
34,0,507132,507150
48,0,89163,89194
45,0,256124,256143
17,0,52034,52060
56,0,543052,543072
27,0,500180,500194
25,0,174123,174164
8,0,205931,205950
25,0,509704,509742
56,0,436362,436403
55,0,258775,258795
27,0,425016,425033
48,0,95024,95056
48,0,362805,362832
56,0,357365,357403
27,0,464309,464343
6,0,233175,233206
8,0,77451,77480
41,0,77476,77503
41,0,77524,77557
23,0,446352,446390
39,0,70005,70034
23,0,402238,402266
48,0,121303,121332
55,0,121221,121250
48,0,191548,191580
17,0,436616,436648
56,0,602372,602389
4,0,386452,386484
53,0,386480,386516
53,0,441734,441758
4,0,519661,519681
19,0,519755,519776
27,0,519729,519761
53,0,519755,519779
19,0,533215,533253
53,0,551503,551535
4,0,565491,565524
19,0,577654,577669
41,0,539992,540006
48,0,20632,20660
48,0,190084,190108
48,0,190204,190231
33,0,395143,395184
33,0,454578,454620
41,0,493086,493117
6,0,216259,216297
45,0,216281,216308
6,0,387681,387700
6,0,478884,478924
45,0,478847,478876
27,0,364129,364169
27,0,569951,569976
27,0,290710,290730
34,0,291263,291295
23,0,230373,230410
25,0,174954,174988
25,0,338216,338240
56,0,327585,327607
41,0,459089,459110
6,0,348025,348058
55,0,203518,203538
33,0,55557,55590
25,0,169292,169328
52,0,402243,402272
34,0,31956,31989
5,0,604508,604539
50,0,75477,75512
55,0,28163,28183
55,0,379114,379141
6,0,376083,376105
27,0,592893,592920
42,0,603707,603743
23,0,65504,65540
23,0,133953,133985
24,0,156660,156681
6,0,285660,285697
24,0,285656,285681
23,0,527563,527594
17,0,597179,597200
52,0,261908,261938
52,0,395733,395762
19,0,434812,434830
17,0,432000,432022
50,0,175205,175238
25,0,48773,48799
6,0,365758,365792
55,0,36725,36745
27,0,392816,392838
6,0,513649,513671
17,0,536528,536557
28,0,600290,600320
